,datetime_utc,rh,temp,pm25,ws,wd,wind_u,wind_v,hour,hour_sin,hour_cos,pm_lag1,pm_lag2,pm_lag3,pm_lag6,pm25_bin
4085,2025-06-21 05:00:00+00:00,62.755,21.233333333333334,7.605766666666667,2.1,290.0,1.9733545036504077,-0.718242300983905,5,0.9659258262890683,0.25881904510252074,12.711866666666667,8.980083333333333,10.707516666666667,9.44145,3
4086,2025-06-21 06:00:00+00:00,64.42333333333333,20.423333333333336,9.596716666666667,1.4,310.0,1.0724622203665692,-0.8999026535611548,6,1.0,6.123233995736766e-17,7.605766666666667,12.711866666666667,8.980083333333333,9.11955,4
4087,2025-06-21 07:00:00+00:00,66.55666666666667,19.741666666666667,7.97475,1.0,320.0,0.6427876096865396,-0.7660444431189778,7,0.9659258262890683,-0.25881904510252063,9.596716666666667,7.605766666666667,12.711866666666667,8.654683333333335,3
4088,2025-06-21 08:00:00+00:00,68.59333333333333,18.971666666666668,10.21725,2.1,280.0,2.068096281325637,-0.36466117310055296,8,0.8660254037844387,-0.49999999999999983,7.97475,9.596716666666667,7.605766666666667,10.707516666666667,4
4089,2025-06-21 09:00:00+00:00,67.23166666666667,19.075,6.238816666666667,1.5,330.0,0.7500000000000007,-1.2990381056766576,9,0.7071067811865476,-0.7071067811865475,10.21725,7.97475,9.596716666666667,8.980083333333333,3
4090,2025-06-21 10:00:00+00:00,60.85,21.395,6.975716666666667,3.4,320.0,2.1854778729342343,-2.6045511066045246,10,0.49999999999999994,-0.8660254037844387,6.238816666666667,10.21725,7.97475,12.711866666666667,3
4091,2025-06-21 11:00:00+00:00,53.13166666666667,24.158333333333335,9.20595,3.35,330.0,1.6750000000000016,-2.9011851026778688,11,0.258819045102521,-0.9659258262890682,6.975716666666667,6.238816666666667,10.21725,7.605766666666667,3
4092,2025-06-21 12:00:00+00:00,44.255,26.834999999999997,11.4246,4.1,340.0,1.4022825876352412,-3.852739745222224,12,1.2246467991473532e-16,-1.0,9.20595,6.975716666666667,6.238816666666667,9.596716666666667,4
4093,2025-06-21 13:00:00+00:00,38.416666666666664,28.834999999999997,9.279316666666666,3.1,320.0,1.9926415900282728,-2.3747377736688313,13,-0.2588190451025208,-0.9659258262890683,11.4246,9.20595,6.975716666666667,7.97475,3
4094,2025-06-21 14:00:00+00:00,36.22833333333333,30.396666666666665,8.950116666666668,2.5,330.0,1.250000000000001,-2.165063509461096,14,-0.4999999999999998,-0.8660254037844388,9.279316666666666,11.4246,9.20595,10.21725,3
